,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
italian,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0
possibly,,,2.0,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,7.0
english,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
prissy,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
telephone,,,2.0,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,7.0
receiver,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,4.0
fucked,,,2.0,,,,,3.0,6.0,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,17.0
chinese,,,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
gentle,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
tease,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
cooking,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
silky,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0
sleeves,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
pure,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,4.0,,,,,,,,,,9.0
corrupt,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
car,,,2.0,2.0,1.0,2.0,3.0,5.0,,1.0,,,6.0,,,,3.0,,,,,,1.0,,,,,,3.0,,,,49.0,,,,,78.0
biggest,,,2.0,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,10.0
strumming,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
killing,,,18.0,4.0,,,,2.0,,,,,,,,,,,8.0,7.0,8.0,,,22.0,,,,,,,2.0,,,,,,,71.0
whole,,,6.0,2.0,4.0,16.0,1.0,26.0,4.0,2.0,13.0,,,15.0,,5.0,,1.0,,2.0,,2.0,,,1.0,1.0,,7.0,,8.0,2.0,1.0,,5.0,3.0,,,127.0
flushed,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
fever,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,4.0,,,,4.0,,,,,,12.0
embarassed,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
letters,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
loud,,,1.0,,,5.0,10.0,,,,,,,,,1.0,,,7.0,,7.0,,4.0,,,,3.0,,,,,,,,,,4.0,42.0
despair,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,8.0
ohhhh,,,3.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
ahhhhhh,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
haaaaaaaaaaaaaa,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
wander,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
cloud,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,5.0
swallows,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
flies,,,4.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,9.0
dies,,,4.0,,,,2.0,,,,,,14.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,21.0
beggar's,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
alive,,,1.0,8.0,,2.0,3.0,3.0,1.0,,,,,,,,6.0,,,,,,,,6.0,,,1.0,,,,,,,,,,31.0
a-walking,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
amongst,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
stewart,,,1.0,,,,,,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,6.0
rod,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
antalantic,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
crossing,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
loser,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
ev'ry,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
wearin',,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
wear,,,1.0,2.0,6.0,,,,,,,,2.0,,,,6.0,1.0,,2.0,,,,,2.0,,,19.0,,,,,,,,2.0,3.0,46.0
touching,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0
jukebox,,,1.0,,,,1.0,,,,,,,,,,,,7.0,,7.0,,,,,,,,,,,,,1.0,9.0,,1.0,27.0
downin',,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
leopard-skin,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
anklehigh,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
boots,,,1.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,,,,12.0,,,25.0
jackin',,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
readin',,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
playboy,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
monterey,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
east,,,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,11.0
virginia,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
dare,,,1.0,1.0,,2.0,,,1.0,,12.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,18.0
chelsea,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
basement,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,4.0,,,,,7.0
poor,,,1.0,,3.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,4.0,,,,5.0,1.0,,,,,,,17.0
excited,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0
jezebel,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
outside,,,1.0,2.0,4.0,1.0,,,4.0,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,17.0
dirty,,,1.0,2.0,,20.0,,6.0,5.0,,,,12.0,,,16.0,,,,,,,,,,,,19.0,,,,,,,,,57.0,138.0
pants,,,1.0,,,2.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0
naked,,,1.0,,1.0,1.0,,1.0,1.0,,,7.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,16.0
silvery,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
women;,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
doctor's,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
swallowing,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
pills,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,1.0,,,8.0
witness,,,1.0,,,,3.0,,,,,,2.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,8.0
comprehend,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
danced,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
dangerous,,,,3.0,19.0,,13.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0
force,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,5.0
shared?,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
poison,,,,1.0,,1.0,1.0,,,,,,,,,,,4.0,,,,,4.0,,,,,,,1.0,,,,,,,,12.0
deceiving,,,,1.0,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,8.0
deceit,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
wireless,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
ringing,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,6.0
distance,,,,2.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,10.0
spreading,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
listening,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,2.0,,,9.0
screaming,,,,1.0,,3.0,6.0,,,,9.0,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,1.0,6.0,,30.0
me!,,,,1.0,,,,,,,3.0,,,2.0,,1.0,,,,,,,,7.0,,,,,,,1.0,,,5.0,,,,20.0
again;,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
over!,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
hall,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
protecting,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
denying,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
restore,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
willing,,,,2.0,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,7.0
innocent,,,,9.0,3.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
easier,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
turning,,,,2.0,1.0,,,,,,,,,,,,,,,3.0,,5.0,,,,,,,,,,,,,,,,11.0
cool,,,,4.0,3.0,7.0,3.0,10.0,2.0,2.0,1.0,,,,,,12.0,,,7.0,,,4.0,,,,,,6.0,,,,1.0,,,,,62.0
cruel,,,,2.0,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,7.0
possible,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
figure,,,,1.0,,1.0,1.0,2.0,,,,,,,,3.0,18.0,,,7.0,,,,,,,,,,,,,,,,,,33.0
win,,,,12.0,1.0,1.0,,1.0,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,3.0,,,26.0
accused,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0
rather,,,,5.0,1.0,2.0,,5.0,,1.0,2.0,,8.0,,,,,,,,,,,,,,,8.0,,,,,,,5.0,,3.0,40.0
martyr,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0
decision,,,,1.0,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
resurrecting,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
heartache,,,,1.0,,1.0,,1.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,5.0,,,,11.0
miracle,,,,9.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,10.0
accept,,,,1.0,,,2.0,,,,,,,,,,,1.0,,14.0,,,,,,,,,,,2.0,,,,,,,20.0
oooh,,,,3.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,30.0,,,,46.0
showcase,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
apparition,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
woh,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
pourquoi,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
trop,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
parler,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
si,,,,7.0,,,3.0,,24.0,20.0,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,61.0
t'es,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
pas,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,11.0
serein,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
?,,,,11.0,1.0,3.0,,1.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,22.0
s'embrouiller,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
l’appât,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
du,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
s'affoler,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
te,,,,4.0,,,8.0,12.0,93.0,51.0,,,,,,8.0,,,2.0,,2.0,,,,,,,12.0,,,,,,8.0,1.0,,,201.0
dit,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
rien,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
rue,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
n'est,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
plus,,,,3.0,,1.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
marrante,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
quand,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
tu,,,,4.0,,,14.0,4.0,30.0,36.0,,,,,,14.0,,,,,,,,,1.0,,,4.0,,,,,,2.0,4.0,,,113.0
meurs,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
j'suis,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
fait,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,8.0
h.e.v,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
x4,,,,4.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,11.0
couplet,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
totorhina,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
le,,,,8.0,,,3.0,,8.0,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,6.0,,,30.0
buzz,,,,1.0,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
l'avait,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
prédit,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
polyvalent,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
les,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0
mecs,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
c'est,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,8.0
moi,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
qui,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
rhinorhina,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
team,,,,1.0,,2.0,,4.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,12.0
m'a,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
mis,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,6.0
corda,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
j'ai,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
pris,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
des,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
ailes,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
toujours,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
dans,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
corsa,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
jeune,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
bandit,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
je,,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,9.0
suis,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0
échauffé,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
toi,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
une,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0
victime,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
t'a,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
amoché,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
facilement,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
reconnaissable,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
locksé,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
capuché,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
vies,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
comme,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
un,,,,1.0,,,4.0,,9.0,5.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,3.0,,,26.0
prince,,,,1.0,,,,,8.0,,,,167.0,,,1.0,,,,,,,,8.0,,,,,,,3.0,,,,,,,188.0
mais,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,5.0
veille,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
balancer,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
j'enchaîne,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
nuits,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
blanches,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
j'met,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
ma,,,,3.0,,,,,,,,,1.0,,,,,,3.0,,3.0,,,,,,1.0,,,,1.0,,,,1.0,,,13.0
tenue,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
blanche,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
et,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,4.0
refait,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
peut,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
tester,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
à,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
mon,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
reflet,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
de,,,,4.0,,,14.0,6.0,45.0,33.0,,,,2.0,,10.0,,,,,,,,,,,3.0,6.0,,,,,,,6.0,,,129.0
l'avance,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
concu,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
que,,,,5.0,,,16.0,30.0,93.0,92.0,,,,,,16.0,,,,,,,,,,,,26.0,,,,,,3.0,5.0,,,286.0
ronfler,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
eu,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
travail,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
va,,,,2.0,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,8.0
payer,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
j'veux,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
faire,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
danser,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
france,,,,1.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0
monde,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
entier,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
dis,,,,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
ce,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
t'en,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
penses,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
fais,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,4.0
semblant,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
j'vais,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
cramer,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
mène,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
danse,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
sur,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
démarrer,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
j'en,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
ai,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
endormis,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
sans,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
anésthésie,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
reçu,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
menaces,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
fantaisies,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
j'crois,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
ces,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
rappeurs,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
ils,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
ont,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
dû,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
se,,,,1.0,,,1.0,1.0,20.0,16.0,,,,,,1.0,,,14.0,,14.0,,,,,,,1.0,,,,,,1.0,8.0,,,78.0
tromper,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
toute,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
facon,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
baky,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
l'a,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
qu'ils,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
saisi,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
heures,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
studio,,,,1.0,,,,6.0,1.0,,3.0,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,42.0,,,56.0
j'ressors,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
l'ai,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
main,,,,1.0,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,8.0
sac,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
t-il,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
assumer,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
malheur,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
uns,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
bonheur,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
