,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
tired,1.0,4.0,8.0,4.0,1.0,,,37.0,2.0,,,,,,1.0,3.0,,,,,,7.0,25.0,,,,,,2.0,,1.0,,1.0,,,6.0,,103.0
feet,3.0,4.0,1.0,5.0,4.0,2.0,3.0,4.0,1.0,,,,,,1.0,1.0,,3.0,,2.0,,1.0,1.0,,2.0,,,,,,,,,,,,2.0,40.0
fireproof,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
under,18.0,23.0,2.0,3.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,,2.0,,,4.0,,,,,,9.0,11.0,8.0,1.0,,1.0,5.0,,2.0,2.0,,,,8.0,,,118.0
boardwalk,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0
by,6.0,12.0,34.0,26.0,19.0,16.0,40.0,7.0,5.0,29.0,16.0,,7.0,2.0,7.0,1.0,,7.0,,5.0,,,16.0,27.0,6.0,6.0,2.0,1.0,1.0,4.0,25.0,2.0,4.0,7.0,664.0,12.0,3.0,1019.0
sea,19.0,10.0,8.0,3.0,3.0,2.0,2.0,1.0,,,,,2.0,3.0,,,,1.0,7.0,,7.0,,12.0,,,,,1.0,2.0,6.0,,2.0,,2.0,,1.0,,94.0
a,81.0,176.0,347.0,273.0,352.0,391.0,262.0,520.0,297.0,156.0,305.0,29.0,478.0,93.0,100.0,204.0,100.0,32.0,108.0,162.0,108.0,30.0,146.0,58.0,120.0,92.0,42.0,281.0,98.0,56.0,89.0,93.0,160.0,51.0,92.0,44.0,136.0,6162.0
blanket,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
is,25.0,59.0,89.0,63.0,158.0,114.0,102.0,120.0,54.0,51.0,193.0,,189.0,89.0,23.0,34.0,60.0,21.0,45.0,78.0,45.0,24.0,6.0,169.0,23.0,37.0,20.0,133.0,7.0,9.0,29.0,27.0,62.0,11.0,13.0,18.0,6.0,2206.0
where,3.0,24.0,11.0,15.0,39.0,33.0,19.0,20.0,26.0,7.0,5.0,,10.0,3.0,19.0,25.0,,4.0,7.0,1.0,7.0,3.0,12.0,,4.0,7.0,4.0,26.0,7.0,40.0,8.0,6.0,35.0,9.0,5.0,6.0,,450.0
i'll,5.0,20.0,35.0,45.0,54.0,18.0,66.0,57.0,27.0,13.0,16.0,,24.0,2.0,33.0,80.0,20.0,15.0,7.0,13.0,7.0,7.0,2.0,42.0,12.0,6.0,,38.0,8.0,,4.0,6.0,,5.0,22.0,73.0,12.0,794.0
be,37.0,78.0,128.0,103.0,183.0,163.0,141.0,131.0,44.0,48.0,52.0,22.0,132.0,28.0,49.0,201.0,40.0,5.0,146.0,53.0,146.0,9.0,37.0,2.0,23.0,73.0,8.0,242.0,15.0,36.0,14.0,25.0,46.0,123.0,37.0,75.0,50.0,2745.0
out,28.0,24.0,41.0,21.0,40.0,68.0,61.0,84.0,15.0,14.0,43.0,,39.0,61.0,13.0,28.0,52.0,16.0,16.0,15.0,16.0,4.0,36.0,27.0,36.0,12.0,13.0,50.0,17.0,28.0,12.0,16.0,25.0,,5.0,4.0,37.0,1017.0
we'll,6.0,9.0,7.0,5.0,8.0,1.0,20.0,,,5.0,3.0,,7.0,,,,,,,,,1.0,,,,3.0,,,4.0,3.0,,,,15.0,4.0,25.0,3.0,129.0
havin',3.0,3.0,,1.0,4.0,,,5.0,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,21.0
some,4.0,7.0,55.0,31.0,19.0,22.0,21.0,34.0,24.0,4.0,13.0,,38.0,18.0,11.0,6.0,,,1.0,9.0,1.0,,6.0,,8.0,5.0,1.0,30.0,28.0,,7.0,2.0,,17.0,1.0,,5.0,428.0
fun,5.0,5.0,2.0,11.0,7.0,1.0,2.0,4.0,2.0,4.0,,,15.0,,,1.0,,1.0,,1.0,,,1.0,,6.0,,,19.0,,,,1.0,,10.0,,,,98.0
people,6.0,6.0,20.0,14.0,41.0,5.0,9.0,9.0,2.0,16.0,24.0,,38.0,9.0,,4.0,1.0,8.0,,18.0,,3.0,2.0,,9.0,4.0,4.0,2.0,,,,3.0,,,1.0,2.0,,260.0
