Column1,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran2,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
dancing,,2,16,3,,,8,21,,,,,,1,10,,,,,2,,,,,1,,,1,,,,7,2,,3,,,77
hold,3,8,5,14,38,6,7,21,9,1,,22,1,,2,9,1,1,,1,,1,1,4,5,,,,11,,2,7,7,6,7,43,,243
mi,,,,,,34,5,21,32,28,,,,,,5,,,,,,,,,,,,7,,,,,,5,10,,,147
done,1,3,4,7,10,7,3,21,14,1,42,,2,,,,18,1,,2,,,4,28,,4,,6,,,5,,2,,,,62,247
'bout,,2,,2,1,2,134,20,7,3,25,,,1,,6,1,,,,,,1,,,1,1,6,,,5,,,,,,3,221
gonna,13,36,45,48,46,64,37,20,12,10,50,,67,38,16,5,4,,,9,,33,8,,6,,8,,2,,,8,1,25,33,30,31,705
there,8,11,30,22,35,43,23,20,7,20,39,7,43,30,3,7,6,5,,35,,3,43,3,29,20,,26,2,8,12,6,8,9,3,50,54,670
thing,,11,25,10,17,14,21,20,3,4,15,,4,,7,6,2,1,,12,,7,2,21,,,1,5,2,,,3,14,3,23,8,8,269
where,3,24,11,15,39,33,19,20,26,7,5,,10,3,19,25,,4,7,1,7,3,12,,4,7,4,26,7,40,8,6,35,9,5,6,,450
oh-oh,,,,,,24,7,20,9,,,,,,,10,,,,,,2,,,,,,,,,,,,,,,,72
mad,,,4,2,2,4,2,20,,1,3,,,,2,,1,,,,,,,,,,1,1,,,1,,,,6,,1,51
skrrt,,,2,,,,2,20,1,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,28
went,,3,3,6,10,1,1,20,3,2,1,,2,,,1,,,,,,,4,6,,4,,,,,4,1,,,,,2,74
pick,1,,,1,2,3,,20,5,,,,,,1,3,,,,6,,,,,,,,,,,,2,,,,,9,53
jonas,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,23
better,,12,8,26,22,22,31,19,7,15,18,,23,10,4,4,1,2,,9,,1,,,,1,,40,1,,9,6,,,21,8,1,321
face,1,10,2,8,5,6,10,19,7,10,6,,2,1,,6,15,,,,,6,4,,,2,,,5,,,3,9,,5,,4,146
his,6,19,55,8,19,14,4,19,13,4,29,,7,1,,,,,,14,,,3,12,,,11,,2,,2,1,,2,11,2,3,261
high,,2,7,17,19,2,4,19,2,4,9,,9,2,,19,6,3,,,,,5,7,,1,6,2,,6,2,1,6,1,2,60,83,306
taught,2,,1,,,2,2,19,,,,,,11,,,,,,2,,,2,,,,,,,,,,,,3,,,44
black,1,4,5,,7,,2,19,1,8,1,,8,2,,3,,60,,30,,,,3,,,,1,1,,4,2,,,3,,50,215
poppin,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,21
bridge,4,20,19,10,20,37,34,18,8,21,16,,45,,14,14,5,3,11,24,11,11,4,17,2,6,5,21,3,15,,,7,5,11,15,13,469
man,2,19,36,18,20,16,31,18,24,18,13,,52,,12,6,6,1,14,27,14,,8,2,4,4,5,28,,10,20,1,16,7,10,,20,482
every,5,13,12,18,25,14,25,18,10,18,39,,10,6,2,8,13,,43,1,43,2,6,,3,1,5,1,8,1,4,5,1,11,11,2,11,395
someone,,8,3,8,9,3,22,18,5,18,3,,4,5,,,,16,,,,5,,,,7,,4,1,,1,3,,40,1,,,184
everything,4,5,11,7,25,15,11,18,4,9,46,,12,4,6,27,7,6,,,,,12,,3,9,,,,6,,2,4,,1,,2,256
hook,1,,3,2,5,13,8,18,6,2,24,,10,,2,8,2,,,6,,,,,11,,,,4,,3,,,,12,16,,156
wait,,1,3,11,10,5,3,18,6,10,60,,,,1,18,,,,1,,,,8,,,,1,,,1,14,,,,,,171
bitches,,,,1,,,2,18,4,7,,,,,,1,,,,,,,,,,,,1,1,,3,,,,,,,38
gettin',3,,,1,3,3,,18,5,2,,,4,,,3,1,,,,,,1,,,,,5,,,,2,,,,,,51
wrist,,,,,1,2,,18,2,,1,,,,,,,,,,,,,,,,,1,,,2,,,,,,,27
khalid,,,,,,,,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
will,8,22,43,48,19,37,54,17,9,3,6,,111,,10,9,6,3,28,7,28,12,11,36,,19,26,29,5,14,4,6,25,7,43,62,2,769
away,15,21,15,20,27,22,53,17,7,11,,,25,7,,9,1,2,70,1,70,1,40,11,5,7,7,,,11,,2,6,43,3,3,,532
let's,,2,7,2,19,22,46,17,5,4,2,,23,,,36,,5,15,14,15,,,,,,,19,,,,,,22,,9,,284
heart,20,39,14,55,36,28,32,17,4,5,12,,5,24,20,20,1,7,21,21,21,16,8,,28,8,14,,2,,1,8,,17,5,41,,550
nothing,,3,7,7,15,53,19,17,3,7,,,14,2,,9,,2,2,5,2,,6,24,,4,,,3,6,2,1,,,1,108,6,328
through,5,4,24,19,31,14,16,17,12,24,49,,5,13,3,,9,1,,10,,1,11,20,9,10,3,8,11,1,7,2,8,,,12,8,367
play,6,4,15,6,2,4,7,17,3,2,5,,12,,,4,3,1,7,,7,,10,7,3,,2,23,,,2,2,,,,,10,164
pop,,,,2,2,1,4,17,2,,3,,8,,,7,,,,,,,,1,,,,,,,1,,,,3,,,51
name,,1,7,3,4,10,46,16,7,7,1,,56,2,2,6,,,,,,1,,46,6,,,39,1,,2,,11,,1,6,,281
call,2,1,15,17,49,10,38,16,15,4,7,,18,,4,8,6,,,3,,,26,42,6,3,,4,2,,7,2,8,,1,,6,320
night,9,21,31,29,18,11,29,16,18,41,,,10,6,2,,21,,21,6,21,,2,9,5,,1,15,40,,2,2,7,15,4,23,16,451
god,,,1,,13,1,23,16,1,8,2,,7,1,15,5,,,1,4,1,,,,2,5,1,,3,,6,,,,3,6,,125
gotta,,2,3,2,19,37,21,16,12,4,8,,6,2,26,5,,,,4,,,1,,,,,13,,,17,4,,1,,4,7,214
yo,,,2,,4,2,7,16,53,36,,,4,,,5,,,,7,,,,,,,3,35,1,,7,,,9,2,,,193
thinking,2,,1,8,14,1,3,16,5,,,,2,,,4,,,7,,7,,1,,,,,,,,,,,,,4,,75
same,,2,2,,3,23,2,16,3,7,7,,7,,,2,19,,,9,,8,64,3,,,,,1,,3,1,,9,,6,4,201
close,,2,3,7,16,10,1,16,1,20,,,9,2,1,1,,,,2,,,6,,2,,,3,,,2,2,,1,,,,107
corazón,,,,,,,1,16,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,20
afraid,2,1,3,1,18,3,,16,3,1,,,,1,,2,,,,,,,3,,,,,,,,,,1,,,12,,67
ciudad,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
del,,,,,,,,16,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,18
sol,,,,,,,,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
donde,,,,,,,,16,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
dejé,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
llévamelo,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
keep,11,13,21,10,35,50,29,15,12,6,11,,,4,9,21,3,,14,17,14,8,23,,,,16,8,,4,6,10,14,,49,12,7,452
little,19,7,12,6,10,27,11,15,12,17,7,,22,60,3,,12,4,,,,,13,,15,11,,1,1,10,1,8,4,3,,6,,317
talk,1,1,7,,14,21,11,15,2,8,4,,4,2,1,17,13,,29,4,29,,4,,2,,,44,,,1,1,,,1,,,236
behind,,5,6,1,5,2,9,15,2,,15,,,,,,3,,,2,,,,,,4,,29,3,,,,1,,,,,102
nights,1,1,3,1,,1,6,15,,21,,,1,2,,1,,,,,,,7,,,,,,,,,,,,,,,60
work,,3,4,1,4,19,2,15,5,6,13,,5,,8,5,,,,1,,,5,,,,,46,2,,2,,,,30,2,1,179
brain,,,,,,1,2,15,1,1,,,,,,1,,,,,,,,8,,,,,,1,,,,,6,,,36
ex,,,,,,,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
eres,,,,,,,2,15,3,,,,,,,2,,,,,,,,,,,,15,,,,,,,,,,37
amazing,,,,,,5,1,15,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,26
i'ma,,,,1,1,2,1,15,17,2,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,44
lo,,,,,,,1,15,27,25,,,,,,1,,,,,,,,,1,,,15,,,,,,2,2,,,89
ho,,,,,2,,,15,13,,,,,,,,,,1,,1,,,,,,,19,,,3,1,,,,,,55
coupe,,,,1,,,,15,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,17
dick,,,,,,,,15,6,1,27,,,,,,,,,,,,,,,,,76,,,6,,,,,,,131
patience,,,,,,,,15,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,17
grateful,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,19
bands,,,,,,,,15,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,20
would,5,7,19,7,42,38,36,14,3,8,1,,99,,10,19,1,,28,1,28,,8,,,46,,1,2,12,3,4,16,,12,1,,471
around,8,13,16,11,21,29,36,14,16,7,6,,59,21,1,8,,1,,2,,,20,1,,7,1,,3,16,4,2,21,5,1,,12,362
miss,1,4,9,,4,4,20,14,10,12,,22,,,1,1,,,84,,84,9,,,,,,,,,,2,,15,5,,,301
than,,4,3,35,11,19,14,14,2,13,1,,9,4,1,16,12,3,,3,,,3,12,2,7,,66,3,,13,3,6,,21,4,,304
find,2,1,15,20,20,20,13,14,2,4,4,,28,1,6,3,25,,22,2,22,1,13,35,,4,13,2,2,,5,6,35,,,13,,353
hope,5,,17,3,10,14,10,14,3,1,22,,,5,,10,1,9,,6,,,6,4,14,,1,,,,,2,7,1,2,1,,168
live,4,8,9,14,11,17,8,14,2,1,,22,2,5,48,2,,1,,14,,,2,20,,1,6,24,,12,17,,,,3,3,19,289
tryna,,1,1,,,5,4,14,6,4,,,,,,10,,,,,,,,,,,,12,,,1,,,,,,,58
game,1,,,4,,12,2,14,2,,17,,4,,,,,,,3,,,,,,,,10,2,,1,1,,,1,6,4,84
top,,,,2,4,11,,14,,2,1,,4,,,9,,,,3,,,2,,,,,1,,,2,2,,,14,,3,74
cash,,,,1,,3,,14,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,21
neck,,,,,,2,,14,6,2,3,,,,,,,,,,,,,13,,,,,7,,3,,,,,,6,56
sucker,,,,,6,,,14,10,,,,,,,,,,,,,,,,,,1,,2,,1,,,,,,,34
blood,,,3,2,1,,,14,8,1,,,,,,,,,,,,,,,,,,,,10,1,,,,,,3,43
saturday,,1,,1,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
cause,9,8,9,19,27,35,19,13,2,,6,,23,7,6,31,12,,,17,,,4,,,6,7,3,2,6,2,1,9,5,3,10,3,304
run,2,3,14,11,10,11,19,13,7,12,1,,15,1,,14,2,,43,8,43,,29,7,2,,,27,2,4,1,1,,5,5,,2,314
sorry,,,,,1,,16,13,7,6,1,,,,,8,,,,,,,,,4,,,,,,1,,7,,3,,,67
somebody,1,2,1,5,12,6,15,13,,16,,,47,12,,6,,,15,,15,,,,,1,,,,,,1,,,,,,168
our,3,3,11,15,15,16,14,13,6,6,24,,28,,5,8,1,3,7,2,7,,,,,28,29,,5,4,,2,14,2,8,16,,295
told,3,8,9,2,2,13,10,13,1,2,2,,2,3,,11,,,,2,,1,7,,2,16,1,1,,,3,,7,,,1,12,134
bring,1,19,,7,4,12,10,13,1,15,4,,,13,5,2,6,,,,,,,,2,,3,,,,2,1,2,,4,1,,127
an,,1,18,17,23,8,8,13,13,5,38,,2,,1,1,,,,7,,,5,3,6,1,1,,4,7,3,1,,,5,,3,194
without,2,,5,6,10,27,7,13,2,14,15,,8,,,2,6,,,3,,1,6,7,,2,1,,1,,1,6,,,54,1,,200
i’m,2,2,5,2,,18,7,13,3,4,11,,3,,3,3,,,,7,,,,,,4,,,,,9,,,,,,30,126
beat,11,4,,5,5,12,4,13,5,3,24,,4,,6,6,,,,4,,4,,5,1,,1,19,1,,2,1,,9,2,,,151
lie,,,1,6,,2,3,13,3,10,,,4,,,6,,,,,,,5,,,,,190,,4,,2,2,,6,,,257
whoa,7,,1,,7,20,1,13,,,,,,1,,,,,,,,,,,,,,,,,9,,,,,,,59
hell,,,6,4,7,5,,13,1,6,10,,2,,18,,,,,,,,6,15,1,,,,1,2,1,1,,,,14,60,173
decide,,,1,,4,2,,13,,,,,10,,6,,,,,,,,,,2,,,,,,1,,,,,,,39
bought,,,,2,2,2,,13,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,22
suicide,,,2,,,2,,13,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,30
freaky,,8,,6,,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,34
hoes,,,,2,,,,13,3,,,,,,,1,,,,,,,,,,,,,1,,2,,,,,,,22
racks,,,,,,,,13,3,2,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,20
la,,,28,16,16,153,53,12,71,42,,,,,,1,,,,60,,,,,,72,3,3,,,7,,,,44,,,581
song,4,6,29,,9,21,36,12,1,3,4,,7,2,3,,,,,7,,,13,,1,1,,,2,1,,9,7,6,3,2,5,194
won't,,11,6,23,21,47,33,12,4,,,,22,4,16,18,21,1,,,,7,4,,,17,2,4,9,,2,12,,5,3,44,,348
mind,3,7,13,7,14,25,24,12,11,16,4,,58,13,14,12,6,2,22,1,22,,1,21,,,8,,2,,1,2,21,,,10,,352
things,1,9,20,18,35,20,21,12,3,6,3,,12,17,18,4,1,4,30,7,30,2,6,24,4,11,1,2,20,4,1,3,28,10,4,8,,399
sean,,,,,,2,11,12,1,,,,,,,17,,,,,,,,,,,,9,,,,,,,6,,,58
drop,,,1,2,2,4,10,12,2,7,7,,,,,2,,,28,1,28,,,,,,,4,1,,2,,,,1,,,114
3,3,9,16,11,8,17,8,12,9,7,16,7,31,10,7,7,16,2,,17,,,6,27,4,10,,1,4,16,1,3,17,5,2,2,11,322
te,,,,4,,,8,12,93,51,,,,,,8,,,2,,2,,,,,,,12,,,,,,8,1,,,201
hot,2,3,3,2,2,14,6,12,3,1,4,,,,7,5,,,,,,,,,2,5,,,,,,,,,,,2,73
mean,1,3,12,6,13,19,4,12,,2,2,,6,2,12,,3,,,1,,,4,,,6,,3,,1,5,,4,,,,,121
lot,,4,5,,6,2,4,12,1,3,,,,,15,1,,,,1,,2,1,,,6,,5,6,,4,6,,,,,,84
trust,1,,,,2,2,3,12,3,,,,,2,,8,,,7,,7,,4,,,2,,,,,3,,,,,,12,68
year,,,1,,,8,2,12,5,1,28,,8,,,1,6,,,,,,,,,1,,,,,1,1,,,,10,6,91
session,,,,,,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,16
coming,4,2,3,6,1,10,,12,2,2,7,,10,,,,,8,,,,,4,,2,,,,,13,,5,,,,2,1,94
don’t,3,,,1,,9,,12,2,3,36,,1,,1,3,12,,,14,,,,,,,,,,,4,,21,,,,2,124
bentley,,,,,1,,,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
wow,,,,1,,,,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
i?,,1,2,,,,,12,,1,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,19
stranger,,1,1,,,,,12,,3,,,,,,,,,,,,,,,,,1,,,,,,28,,,,,46
crib,,,,,,,,12,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,16
empress,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
happier,,,,,,,,12,12,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,26
ya,,1,,6,7,12,41,11,15,28,3,,22,14,,8,,,,6,,,,,,,2,4,4,,3,1,,1,3,,,192
stay,1,4,15,10,7,28,34,11,15,9,3,,3,,2,2,,,,,,,3,,,1,5,4,,,1,,,4,1,,,163
here,1,41,55,7,20,27,31,11,12,6,73,,23,64,7,21,16,,28,2,28,,47,7,5,26,1,10,4,,9,5,2,15,38,6,21,669
body,,1,3,7,1,3,26,11,3,10,,,10,,6,3,,,120,,120,,,,6,,2,,1,,1,,7,,2,12,,355
us,,2,22,24,24,8,21,11,3,12,17,,34,10,,13,1,4,,,,2,,7,,11,21,13,5,1,7,,,3,22,46,,344
tears,2,5,3,3,6,2,19,11,,2,1,,,4,,1,,,,,,11,,,1,1,,,,,1,,,,,,,73
i'd,4,7,9,5,23,48,18,11,3,8,1,,8,1,5,47,1,,42,10,42,1,,,,,1,8,6,6,2,9,7,,15,,,348
own,2,1,13,5,7,12,15,11,8,3,1,,,,2,2,3,5,,9,,,8,3,,3,,,,,,3,4,1,2,,3,126
turn,7,28,4,8,14,11,13,11,5,1,1,,7,,1,11,7,,28,,28,1,4,8,1,,,4,2,,1,,7,,1,,7,221
last,1,7,15,10,12,9,10,11,7,1,52,,7,3,,2,12,3,21,2,21,10,34,8,,,,,6,1,2,,,45,3,,8,323
change,4,1,4,6,12,22,9,11,9,6,4,,4,7,15,13,,,,,,,5,,,2,,5,2,,1,1,,,,10,,153
sometimes,2,,19,6,19,8,8,11,5,1,,,4,,3,2,3,,7,7,7,,6,,,2,,,,,3,1,,,6,,,130
seen,2,2,2,2,7,4,5,11,7,1,2,,7,,6,1,,10,,,,1,9,,5,2,,,6,2,1,8,,,1,6,,110
slow,,,2,1,,3,5,11,5,,,,,,,6,,,7,,7,,4,,,,1,,,,1,1,7,,2,,3,66
drunk,,,1,,,,4,11,,2,,,,1,,,,,,,,,2,,,,,,,,,,,,1,,2,24
lately,,1,2,1,,1,2,11,6,,,,,1,,,,,,,,,1,,,,,4,2,,,,,,,,,32
x,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,13
block,,,,,,8,,11,2,,4,,,,,,,,,,,,,,,5,,,1,,1,,,,,,,32
plus,,,,3,,1,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
nick,,,,,,,,11,,,,,,,,,3,,,,,,,,,,,,,,,,,,6,,,20
juice,,,,,,,,11,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
show,,4,12,11,19,11,40,10,17,4,8,,6,12,3,11,9,,4,2,4,,,,3,,,21,1,,6,,8,,1,36,3,266
again,1,7,41,9,12,29,27,10,2,2,18,,,,,,,5,,6,,2,9,10,4,5,,,,11,2,2,,,1,26,,241
best,3,6,3,13,16,10,23,10,1,1,3,,,2,,8,,6,7,6,7,7,7,,6,1,,,,,1,13,,,8,2,3,173
left,2,7,3,6,11,6,23,10,5,3,29,,2,,,1,,,14,,14,,1,,,2,,13,,,5,2,,,1,,3,163
world,14,10,14,17,10,53,19,10,3,18,2,,68,10,6,12,2,5,,6,,10,10,7,8,10,18,,1,1,9,13,12,,11,12,3,404
stop,5,5,4,16,13,38,17,10,3,2,13,,28,8,3,9,6,,7,3,7,,,,8,,,19,1,5,4,1,,3,33,144,6,421
trying,1,5,3,2,9,18,16,10,6,2,3,22,2,,,,18,,,,,,,,3,,,,,,2,,,,1,,,123
first,2,5,2,4,8,19,13,10,3,2,4,,12,,,,,,7,11,7,7,,,,,1,1,2,,6,,12,,,,,138
pull,1,1,,2,4,2,11,10,9,12,,,1,,2,4,,1,21,,21,,,,,,2,1,1,,2,,,,,,1,109
much,3,8,5,7,25,15,10,10,7,13,12,,5,5,2,3,1,9,14,1,14,,4,,,2,1,4,4,,3,8,24,10,6,29,,264
believe,4,23,11,18,27,10,10,10,,1,1,,28,5,5,16,6,,12,4,12,,4,63,54,,2,4,1,,,,,,,2,1,334
days,2,3,3,4,9,1,5,10,2,20,3,,3,2,21,1,18,,,2,,1,,26,,,2,5,1,,10,4,7,,3,2,,170
touch,1,3,8,7,5,12,4,10,1,8,,,,8,3,6,,15,,,,,,,,8,6,,,,4,,,5,,36,,150
two,,4,2,1,3,9,4,10,3,1,,7,16,9,,6,2,,,,,1,2,11,,,,,2,,2,2,,,,,,97
running,3,9,3,,1,4,4,10,3,11,4,,,,,,,,,,,,,,,,,4,,,2,,,,1,,13,72
found,4,9,6,5,5,2,4,10,,,,,,,,1,,,,3,,5,8,,,4,2,1,4,,2,4,7,,4,,,90
enough,,3,1,1,16,13,3,10,6,3,3,,,4,,3,,3,,1,,,7,,,2,,21,,,,,7,,,36,3,146
cool,,,,4,3,7,3,10,2,2,1,,,,,,12,,,7,,,4,,,,,,6,,,,1,,,,,62
ready,,2,,1,19,3,2,10,7,2,,,11,1,1,,,,,4,,,,,,,1,2,22,,,,,,2,,,90
fast,,,5,,,3,2,10,3,3,,,8,,,,,,7,,7,,2,,,,,,,,,1,,,2,12,1,66
shoot,,,,,,1,2,10,4,,12,,,,8,,,,,,,,,,,,,,1,,3,1,,,,,23,65
en,,,,1,,,2,10,37,23,,,,,,2,,,,,,,,,,,,2,,,,,,1,4,,,82
hand,4,2,5,7,7,15,1,10,7,1,5,,14,,1,5,,1,8,3,8,7,,9,,2,,,3,,1,1,12,5,1,2,2,149
front,,1,,,,5,1,10,1,2,12,,,,,,,,,,,,,,,,2,4,,,4,,,,,,,42
roll,2,7,4,13,3,1,1,10,17,,12,7,2,,,5,,,,,,,1,,,,,,1,,3,1,,,4,,62,156
bottles,,,,,,1,1,10,3,,,,,,6,1,,,,,,,,,,,,,,,2,,,,,,,24
what?,,,,,9,101,,10,1,,12,,3,,1,,,,,,,,,8,,,1,,,,2,,,,240,,,388
listen,1,5,1,6,10,14,,10,4,,3,,15,1,,,,,,,,,4,,,,1,2,,,4,3,,,,2,1,87
catch,,,,1,4,8,,10,5,,3,,,,,1,,,,2,,,,,,,,18,1,,2,,,,3,2,2,62
homies,,,,1,,4,,10,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,19
yet,,,,,1,3,,10,,,,,3,2,,3,,1,,,,,5,,,1,1,1,,,1,16,,5,,,,53
gave,2,2,3,4,4,1,,10,1,,,,25,,,2,,,,,,,8,,,8,2,,,,2,,,,,,,74
dumb,2,,1,,2,1,,10,2,1,,,,,,,,,,,,,2,8,,,,,,1,1,,,,,,,31
nothin',,,,,1,1,,10,3,,1,,,1,,,,,,,,,6,,,,,,,,1,4,,,,,3,31
lean,,,1,,1,,,10,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,18
chasing,,,,,,,,10,,,,,,,,,,,,,,7,,,,,,,,,,,,,2,,,19
wraith,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
countin',,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
hoe,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
dile,,,,,,,,10,1,1,,,,,,,,,,,,,,,,,,10,,,,,,,,,,22
aight,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
post-chorus,,,3,1,,6,20,9,3,13,,,,,14,2,,10,,,,,,10,4,,4,,,,,,,,2,,,101
hear,10,2,14,18,3,11,14,9,11,4,3,,11,13,1,6,,4,,1,,1,6,68,13,6,9,,3,,1,2,6,9,1,1,8,269
something,,6,2,13,19,9,12,9,,16,9,,19,1,13,8,,,46,3,46,,27,,,2,,,3,24,,,9,,,7,,303
though,4,10,3,6,8,6,11,9,6,3,12,,,,2,14,,1,14,,14,,,,,5,,,,,3,,,2,,2,,135
paul,,,,,,2,11,9,,,1,,,6,,,,,,,,,,,,,,47,,,,,,,6,,,82
gone,4,5,7,4,4,20,10,9,,3,7,,1,,12,,2,5,,1,,,,31,22,,,19,,,3,3,,5,,17,3,197
old,3,13,21,6,3,7,9,9,3,14,2,,,16,40,1,19,,,,,,3,,,5,2,23,1,,1,3,,2,3,8,,217
people,6,6,20,14,41,5,9,9,2,16,24,,38,9,,4,1,8,,18,,3,2,,9,4,4,2,,,,3,,,1,2,,260
lights,,1,4,8,2,17,8,9,,3,10,,,,6,,17,,,,,,,8,,,,,,,,,,,2,,3,98
swear,,1,,5,,16,7,9,1,,,,1,,,,,,,,,,,,,,,,,,8,,,,1,,,49
cut,,,,2,1,3,7,9,10,1,6,,,,,,,2,28,,28,,,,1,,,,,12,1,,,,,,9,120
follow,,,,,1,,6,9,,1,,,,,,,,1,42,,42,,,,,,3,,,8,,,,,1,,,114
loved,3,7,1,2,3,5,5,9,2,1,1,,,6,,,,,,18,,,,,,1,,,,,2,,,80,,,,146
everybody,,1,9,1,20,4,5,9,17,4,9,,67,12,,3,3,,,9,,2,,,,,,,4,,4,,,,,12,,195
wish,2,5,8,10,10,4,5,9,,51,,,18,1,,,,,,,,12,6,1,,6,,,1,60,,,7,5,,5,,226
okay,,,,1,,22,4,9,7,2,12,,,,3,5,,,8,,8,,,,,,,2,,2,,,,,,,,85
type,,,1,,,3,4,9,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,20
city,,,5,44,,4,3,9,3,4,1,,5,1,6,1,,,,,,2,,,,,6,,,,9,,,,15,4,1,123
matter,,14,1,2,17,19,2,9,2,12,,,10,1,3,4,1,,,,,,19,,,5,,26,,,1,,7,,,,,155
wouldn't,,,,,7,6,2,9,1,3,12,,6,,1,8,6,1,2,,2,,1,,1,,,8,,,,,,,6,,,82
lick,,,,,4,,2,9,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,19
wind,,1,5,,3,4,1,9,1,,,,,54,,,,,1,,1,,2,,3,,6,,8,5,1,,,,,,,105
grew,,,3,,,2,1,9,2,,,,,,,,,,,,,,9,,,1,1,,,,,1,,,,,,29
ain’t,1,,1,,,2,1,9,,1,6,,,,,,,,,,,,,,,,,,,,3,,,,,,9,33
kehlani,,,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
lil,,,,,,13,,9,16,,,,,,,7,,,,,,,,,,,,20,,,6,,,,1,,,72
hate,,3,,1,9,2,,9,2,2,,,,,,1,,,,7,,,,,,2,,4,,,2,,,,6,,,50
ride,,,1,5,,1,,9,6,5,12,,,,,8,1,5,,6,,,4,2,,1,4,,,,2,,21,,,6,3,102
broke,,1,,,,1,,9,4,,16,,,,,12,,,,,,1,,,,1,,,,,3,,,,3,,,51
drugs,,,,,14,,,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
check,,2,1,,,,,9,,2,,,,,,3,6,,,,,,5,,,,2,,,,6,,,,,,,36
joe,2,1,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,17
rotting,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
12,,,,,,,,9,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,11
switch,,,,,,,,9,8,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,25
flex,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,11
hunnid,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
y'all,,,,,4,1,15,8,11,,36,,10,,,1,,,,,,,,,,,,35,,,6,,,,,4,,131
might,1,5,16,,4,4,13,8,8,3,,,2,,,,3,,28,1,28,,4,,,1,,8,,8,6,6,7,,,12,,176
shouldn't,,,1,5,3,8,12,8,,,,,,,,2,,,2,,2,,,,1,1,,,,,,,,,,,,45
