,count
likes,1
you's,1
liar,1
pulled,1
blew,1
harpoon,1
hater,1
stand,2
chances,2
.223,1
pieces,1
suckin',1
freakin',2
curry,1
thirty,1
crossover,1
dribble,2
three-piecer,1
eatin',1
colonel,2
regular,4
normal,2
worker,1
agressive,1
disrespectful,2
testicles,1
vegetables,1
balls,1
schedule,2
d.a,1
tyga,5
slide,1
pimp,1
icy,1
claim,3
rich?,1
false,1
baggage,1
styles,1
pronounce,1
instagram,1
rockin',1
fresh,1
pan,1
takin',1
pics,1
middleman,1
shower,1
gangland,1
hangman,1
spray,1
tan,1
mr.,1
'what,1
kind,2
in?',1
mary-kate,3
taste?,7
g-eazy,1
bart,1
train,1
tour,1
bus,1
except,1
pulling,1
sluts,1
fucks,1
short,1
cuts,1
upon?,1
bay,1
sounds,1
mac,1
selling,1
coupon,1
resume,1
grapes,2
rollin',1
swishers,1
papes,1
ghost,1
drapes,1
tycoon,1
swoon,1
super,1
moon,1
vanished,1
wants,1
slay,1
doom,1
expected,1
happen,1
texted,1
offset,2
diamond,2
glacier,1
imitate,1
feed,1
maybach,1
drac',1
grape,1
pace,1
skrt,3
par,1
cookie,1
hittin',1
rari,1
park,1
mars,2
shotgun,1
target,1
blaow,1
